movie,recommendation
Texasville,"['The Last Picture Show', 'A Better Place', 'All About Lily Chou-Chou', 'Keith', 'Normal Adolescent Behavior']"
Valmont,"['Dangerous Liaisons', 'A Price Above Rubies', 'Queen Bee', 'Radio Inside', 'Charlotte Gray']"
Ernest Goes to Africa,"['Ernest In The Army', 'Ernest Rides Again', 'Dr. Otto and the Riddle of the Gloom Beam', 'Ernest Goes to Jail', 'Ernest Scared Stupid']"
Ernest In The Army,"['Dr. Otto and the Riddle of the Gloom Beam', 'Ernest Rides Again', 'Ernest Goes to Jail', 'Ernest Scared Stupid', 'Ernest Goes to Africa']"
Horror of Dracula,"['Nosferatu the Vampyre', 'Dracula', 'Scars of Dracula', 'Dracula A.D. 1972', 'Dracula']"
Strange Brew,"['Honey, I Shrunk the Kids', 'Iron Eagle', 'The Last Polka', 'Repossessed', 'That Darn Cat']"
The Incredible Mr. Limpet,"['The Secret of Santa Vittoria', 'The Teahouse of the August Moon', 'Cat Soup', 'Sink the Bismarck!', 'When the Wind Blows']"
Claire of the Moon,"['Someone to Watch Over Me', 'And Now... Ladies and Gentlemen...', 'To Cross the Rubicon', ""Claire's Knee"", 'Innocence']"
Django,"['Django Strikes Again', 'Shadows', 'Inside Deep Throat', 'Swimming to Cambodia', 'The Song of Ceylon']"
Django Strikes Again,"['Django', 'Machine-Gun Kelly', 'Mediterraneo', 'Dead Birds', 'American Ninja 5']"
The Fan,False
Festival in Cannes,"['Rick', 'Moving McAllister', 'Hotel de Love', 'Crazy in Alabama', 'Old Acquaintance']"
Flashback,"['Witless Protection', 'Lawnmower Man 2: Beyond Cyberspace', 'Once a Thief', 'White Sands', 'Eye of God']"
Hanky Panky,"['Close Your Eyes', 'True Love', 'Along Came a Spider', 'Life With Mikey', 'Bad Influence']"
The Rocking Horse Winner,"['To The Other Side', 'Parents', ""Virginia's Run"", 'Invaders from Mars', 'The Red Balloon']"
Seance on a Wet Afternoon,"['Blood and Wine', 'Palmetto', 'Five Minutes of Heaven', 'Straw Dogs', 'Chinese Roulette']"
Shamus,"['Raid', 'Color of Night', 'WiseGirls', 'Splatter University', ""Where's Marlowe?""]"
The Wrong Guy,"['Beyond Hypothermia', 'The Take', 'Coonskin', 'National Security', 'Stark Raving Mad']"
Below,"['Good Evening, Mr. Wallenberg', 'The Rape of Europa', 'Rules of Engagement', 'Destination Tokyo', 'U-571']"
Brown Sugar,"['Rhyme & Reason', ""Dave Chappelle's Block Party"", 'G', 'Hello, Dolly!', 'Tupac: Resurrection']"
Knockaround Guys,"['WiseGirls', 'Summer of Sam', 'Eye of God', 'Gloria', 'Fighting']"
The Rules of Attraction,"['Under the Bridges', 'The Nanny Diaries', 'Swept Away', 'French Cancan', 'Standing Still']"
Tuck Everlasting,"['The Fantasticks', 'Our Town', 'Rare Birds', 'To The Other Side', 'Five Children and It']"
White Oleander,"['Sweet Sixteen', 'South Central', 'Underworld', 'American Me', 'Donnie Darko']"
Bowling for Columbine,"['The Children of Leningradsky', 'The Year of the Yao', 'Fahrenheit 9/11', 'Hideous Kinky', 'Hard Candy']"
Comedian,"[""Jerry Seinfeld: I'm Telling You for the Last Time"", 'Richard Pryor: Live on the Sunset Strip', 'Bill Cosby: Himself', 'The Living Room of the Nation', 'Life and Debt']"
On Guard,"['Bucktown', 'Dracula: Prince of Darkness', 'Bernard and Doris', 'Taste the Blood of Dracula', 'Nana, the True Key of Pleasure']"
Pokémon 4Ever: Celebi - Voice of the Forest,"['Pokémon Heroes: Latios and Latias', 'Pokémon: The Movie 2000', 'Pokémon: Spell of the Unknown', 'The Second Jungle Book: Mowgli & Baloo', 'The Tale of Despereaux']"
Punch-Drunk Love,"['Next Stop Wonderland', 'The Love Letter', 'Me, You, Them', 'Miranda', 'Do You Remember Dolly Bell?']"
Safe Conduct,"['JLG/JLG: Self-Portrait in December', 'First Name: Carmen', 'Rome, Open City', 'Shadows', 'Good Men, Good Women']"
Swept Away,False
The Young Unknowns,"['Less Than Zero', 'The Circus', 'One Night Stand', 'The Tender Trap', 'Tenure']"
Abandon,"['13B: Fear Has a New Address', 'Diamond Men', 'Mr. Brooks', 'WiseGirls', 'City Hall']"
The 51st State,"['WiseGirls', 'The Losers', 'The Exterminator', 'My Super Ex-Girlfriend', 'The Man Who Knew Too Little']"
The Ring,False
Auto Focus,"['The Grass Harp', 'The Visit', 'Gordy', 'World Traveler', 'Our Hospitality']"
Fidel: The Untold Story,"['Comandante', 'American Teen', 'Trekkies 2', 'Shadow Company', 'Guerrilla: The Taking of Patty Hearst']"
The Grey Zone,"['Good Evening, Mr. Wallenberg', 'The Last Days', 'Rules of Engagement', 'The Third Part of the Night', 'The Hiding Place']"
Hansel & Gretel,"['Pinocchio', 'Houseguest', 'Peter Pan', 'The Story of Qiu Ju', 'The Brave Little Toaster']"
Naqoyqatsi,"['Powaqqatsi', 'Koyaanisqatsi', 'Moog', 'Oceans', 'Anne Frank Remembered']"
Real Women Have Curves,"['Possible Loves', 'Rachel, Rachel', 'Prozac Nation', 'Fanny', 'The Butterfly']"
Russian Ark,"['The Dunwich Horror', 'Waterland', 'The Battle of Algiers', 'Days of Glory', 'India Song']"
Take Care of My Cat,"['Book of Love', 'Carnal Knowledge', 'Spring, Summer, Fall, Winter... and Spring', 'Wild Boys of the Road', 'Daisy']"
Tully,"['Blaze', 'When Night Is Falling', 'Big Eden', 'Conspiracy', 'Down in the Delta']"
Billy Bathgate,"['The Public Eye', 'The Air I Breathe', 'Blue City', 'In Too Deep', 'Double Jeopardy']"
Grave of the Fireflies,"['Barefoot Gen', 'Midway', 'Germany Year Zero', 'When the Wind Blows', 'The Search']"
Jason Goes to Hell: The Final Friday,"['Friday the 13th: The Final Chapter', 'Friday the 13th Part VI: Jason Lives', 'Friday the 13th Part VIII: Jason Takes Manhattan', 'Essex Boys', 'Friday the 13th Part 2']"
The Mechanic,"['Arthur 2: On the Rocks', 'The Proposition', 'Alice Adams', 'Arthur and the Invisibles', 'Excalibur']"
Saturday Night Fever,"['Cradle 2 the Grave', 'Scarface', 'A Handful of Dust', 'Tony Takitani', 'Eyewitness']"
Staying Alive,"['Saturday Night Fever', 'The Great Ziegfeld', 'Love Me Tender', 'Jane Austen in Manhattan', 'The Fantasticks']"
To the Devil a Daughter,"['The Prophecy', ""Salem's Lot"", 'Los signos del zodiaco', ""Don't Tempt Me"", 'Taste of Fear']"
Urban Cowboy,"[""L'eclisse"", 'Moment by Moment', 'The Shipping News', 'The Hi-Line', 'La Ronde']"
Terror Train,"['Jab We Met', 'The Prowler', 'The Cassandra Crossing', 'Rails & Ties', 'The Alligator People']"
Times Square,"['Eddie and the Cruisers II: Eddie Lives!', 'Adrift in Manhattan', 'The City', 'New York Doll', 'Mutual Appreciation']"
Tom Horn,"['Tom and Huck', 'The Getaway', 'Harsh Times', 'WiseGirls', 'The Two Jakes']"
The Pumaman,"['Ong Bak 2', ""L'eclisse"", 'La Ronde', 'Tartuffe', 'Bad Company']"
Up the Academy,"['Good Morning', 'The Long Gray Line', 'The Comedians of Comedy', 'The Last Man', 'Three Rooms of Melancholia']"
When Time Ran Out...,"[""The Devil at 4 O'Clock"", 'Krakatoa, East of Java', 'Proof of Life', 'High Risk', 'Heaven Knows, Mr. Allison']"
Wholly Moses,"['Ghoulies', 'The Patsy', ""Say It Isn't So"", 'The God of Cookery', 'Wrong Side Up']"
Without Warning,"['Humanoids from the Deep', 'The Toolbox Murders', 'It Conquered the World', ""The Creature Wasn't Nice"", 'Inseminoid']"
Xanadu,"['Portrait of Jennie', 'Angel-A', 'The Piano Tuner of Earthquakes', 'Age of Consent', 'Two of a Kind']"
...All the Marbles,"['Wilbur Wants to Kill Himself', 'Cooking With Stella', 'Beautiful Joe', 'They All Laughed', 'French Cancan']"
Absence of Malice,"['The Other Man', 'Street Smart', 'Ten Canoes', '11:14', 'New York']"
All Night Long,"['Private Parts', 'Wendigo', 'Father of the Bride Part II', 'North to Alaska', 'Kuffs']"
The Amateur,"['Highwaymen', 'Lemming', 'True Lies', 'Fudoh: The New Generation', 'Tales of Terror']"
Banana Joe,"['Cold Sweat', 'Here Comes Mr. Jordan', 'Trash', 'Bangkok Dangerous', 'Joe Strummer: The Future Is Unwritten']"
Marianne and Juliane,"['The Lost', 'Here Comes Cookie', 'Grave of the Fireflies', 'Georgia', 'Two Mules for Sister Sara']"
Blow Out,"['Traces of Red', 'Dressed to Kill', 'The Langoliers', 'Stir of Echoes', 'Past Midnight']"
The Boogens,"['American Zombie', 'Two Thousand Maniacs!', 'My Bloody Valentine', 'Impulse', ""Salem's Lot""]"
Buddy Buddy,"['Shadows', 'The Whales of August', 'Intervista', 'The Independent', 'The Disorderly Orderly']"
The Burning,"['Anguish', 'Friday the 13th: The Final Chapter', 'The Haunted Palace', 'Race for Your Life, Charlie Brown', 'Cheerleader Camp']"
Butterfly,False
Cannibal Ferox,"['Last Cannibal World', 'Eaten Alive!', 'Pathfinder', 'White Fang 2: Myth of the White Wolf', 'Caveman']"
Carbon Copy,"['Tekkonkinkreet', 'Made in America', 'The Great White Hope', 'Snow White', 'Devil in a Blue Dress']"
Charlie Chan and the Curse of the Dragon Queen,"['The Cheap Detective', 'Foul Play', 'Lonely Street', 'Vertigo', 'The Hound of the Baskervilles']"
A Friend Is a Treasure,"['Beachhead', 'Hell in the Pacific', 'Mediterraneo', 'Heaven Knows, Mr. Allison', 'Long John Silver']"
The Chosen,"['Romulus, My Father', 'New York', 'Floating', 'Sunflower', 'The Wackness']"
Knock on Wood,"[""My Boss's Daughter"", 'Avenging Angelo', 'Blame It on the Bellboy', 'Ghost River', 'Keane']"
Continental Divide,"['Sabah', 'All Over the Guy', 'Griffin & Phoenix', 'Minnie and Moskowitz', 'Foolish']"
The Creature Wasn't Nice,"['Dead Fury', 'Popcorn', 'Behind the Mask: The Rise of Leslie Vernon', 'Black Sheep', 'Acacia']"
Man of Iron,"['Man of Marble', 'Ashes and Diamonds', 'Somebody Is Waiting', 'To Kill a Priest', 'Pan Tadeusz']"
Dead & Buried,"['Impulse', 'Behind the Mask: The Rise of Leslie Vernon', ""Salem's Lot"", ""Widows' Peak"", 'The Hamiltons']"
Deadly Blessing,"['The Unsuspected', 'The Gift', 'The Forgotten One', 'Nightmare Castle', 'The Death Kiss']"
Death Hunt,"['Born Rich', ""What Doesn't Kill You"", 'The Big Brawl', 'Law and Order', 'Weirdsville']"
Endless Love,"['A Swedish Love Story', 'Kimberly', 'The Fiances', 'Romeo and Juliet', 'Bongwater']"
Enter the Ninja,"[""Who'll Stop the Rain"", 'Flight of the Intruder', 'The Dawn Patrol', 'Rules of Engagement', ""Everybody's Fine""]"
The Entity,"['The Death Kiss', ""Child's Play"", 'The Children', 'Anguish', ""Salem's Lot""]"
Eye of the Needle,"['Where Danger Lives', 'When Strangers Appear', ""L'eclisse"", 'A Price Above Rubies', 'Bangkok Dangerous']"
Eyewitness,"['Scarface', 'Cradle 2 the Grave', 'Married to the Mob', 'Once in the Life', 'Under Suspicion']"
Faces of Death II,"['Faces of Death', 'Faces of Death: Fact or Fiction?', 'Faces of Death IV', 'Faces of Death VI', 'Faces of Death III']"
Faces of Death,"['Faces of Death II', 'Faces of Death IV', 'Faces of Death VI', 'Faces of Death: Fact or Fiction?', 'Sister Helen']"
Faces of Death III,"['Faces of Death IV', 'Faces of Death II', 'Faces of Death VI', 'Faces of Death', 'The Last Horror Movie']"
Faces of Death IV,"['Faces of Death', 'Faces of Death VI', 'Faces of Death III', 'Faces of Death II', 'Faces of Death: Fact or Fiction?']"
Faces of Death VI,"['Faces of Death: Fact or Fiction?', 'Faces of Death', 'Faces of Death IV', 'The Kentucky Fried Movie', 'Faces of Death II']"
Faces of Death: Fact or Fiction?,"['Faces of Death VI', 'Faces of Death', 'Faces of Death II', 'Faces of Death IV', 'Feiern']"
The Woman Next Door,"[""You're a Big Boy Now"", 'The Clockmaker of St. Paul', 'La séparation', 'Second Skin', 'Sabah']"
First Monday in October,"['Griffin & Phoenix', 'Nicotina', 'An Unmarried Woman', 'French Cancan', 'The Undead']"
"Fort Apache, the Bronx","['The Wrong Arm of the Law', 'Streets of Blood', 'Decoy', 'City By The Sea', 'Stander']"
Four Friends,"['Normal Adolescent Behavior', 'Harriet the Spy', ""River's Edge"", 'New York', 'Sex Drive']"
The Four Seasons,"['California Suite', 'Afterglow', 'The Fantasticks', 'Summer in Berlin', 'Summertime']"
Galaxy of Terror,"['Popcorn', 'Dead Fury', 'Diary of the Dead', 'Event Horizon', 'Behind the Mask: The Rise of Leslie Vernon']"
Gallipoli,"['The Land Girls', '120', 'The Rape of Europa', 'U-571', 'The Secret of Santa Vittoria']"
The Inquisitor,"['Two Men in Manhattan', 'The Presidio', 'Red Lights', 'Slow Burn', 'Double Jeopardy']"
Ghost Story,"['Hard Candy', 'The Final', 'Hideous Kinky', 'Kafka', 'Limbo']"
Going Ape!,"['I Never Sang for My Father', 'Under the Cherry Moon', 'Campus Man', 'Champagne', 'The Man Who Quit Smoking']"
Goodbye Pork Pie,"['Flight of Fury', ""VeggieTales: The Pirates Who Don't Do Anything"", 'Year of the Comet', 'Adventures of Don Juan', 'Among Giants']"
Gregory's Girl,"['The Nanny Diaries', 'The Love Letter', 'Beautiful Creatures', 'Nola', 'Comfort and Joy']"
Who Pulled the Plug?,"['A Time for Drunken Horses', 'Sällskapsresan - eller finns det svenskt kaffe på grisfesten?', 'The Boss of It All', 'Holes', 'Hot Millions']"
The Hand,"['Downloading Nancy', 'This Man Must Die', 'Crash', 'Happy Birthday to Me', 'The Hands of Orlac']"
Happy Birthday to Me,"['The Hand', 'The Final', 'I Know What You Did Last Summer', 'Arranged', ""April Fool's Day""]"
Heartbeeps,"['Under the Bridges', 'Snow days', 'Houseboat', 'Bell, Book and Candle', 'A Little Romance']"
Inseminoid,"['Alien', 'DeepStar Six', 'Without Warning', 'Behind the Mask: The Rise of Leslie Vernon', 'Doomwatch']"
"Ladies and Gentlemen, the Fabulous Stains","['Eddie and the Cruisers II: Eddie Lives!', 'Flowers in the Attic', 'The Uninvited', 'Cría Cuervos', ""Virginia's Run""]"
Lady Chatterley's Lover,"['Empire of Passion', 'Springtime in a Small Town', ""Another Man's Poison"", 'Emmanuelle II', 'Emmanuelle']"
The Legend of the Lone Ranger,"['All the Pretty Horses', 'The Mark of Zorro', 'The Dawn Rider', 'The Trip', 'Extreme Prejudice']"
Lili Marleen,"['Ali: Fear Eats the Soul', 'Gordy', 'Andre', 'Fox and His Friends', 'The Merchant of Four Seasons']"
Lola,False
Looker,"['TerrorVision', 'Coma', 'Who Killed Bambi?', 'Captives', 'Bangkok Dangerous']"
"The Looney, Looney, Looney Bugs Bunny Movie","[""I Can't Think Straight"", 'Hum Tum', 'The Disorderly Orderly', 'Cockles and Muscles', ""You're a Good Man, Charlie Brown""]"
Madman,"['The Last Horror Movie', 'Kalifornia', ""Child's Play"", 'Meatballs Part II', 'Chronicles']"
Teddy Bear,"['Employee of the Month', 'London', 'Vabank', 'I Hope They Serve Beer in Hell', 'Starting Over']"
Modern Problems,"['Airplane!', 'Wishful Thinking', 'An Extremely Goofy Movie', 'Pushing Tin', 'Summer Rental']"
Modern Romance,"['Real Life', 'Looking for Comedy in the Muslim World', 'Mother', 'Greetings', 'Pie in the Sky']"
Ms .45,"['The Driller Killer', 'The Exterminator', 'Death Wish', 'Bad Lieutenant', 'The Addiction']"
My Bloody Valentine,False
My Dinner with André,"['The Lawless Heart', 'French Cancan', 'Hurlyburly', 'I Love You, I Love You Not', 'Everyday People']"
Neighbors,"['Getting Away with Murder', 'Native Son', 'Happenstance', 'The Man Without a Past', 'La Ronde']"
Night of the Zombies,"['Secrets of the Heart', 'Gardens of Stone', 'Revolt of the Zombies', 'Dead Fury', 'Acacia']"
The Night the Lights Went Out in Georgia,"['Pure Country', 'Georg', 'Possession', 'The Trouble with Girls', 'Purple Rain']"
Only When I Laugh,"['Jonny Vang', 'The Telephone', 'Just Friends', 'Queens Logic', 'Stealing Time']"
Pennies from Heaven,"['Melody Time', 'Rock School', 'Only the Strong Survive', 'The Music Room', 'Pure Country']"
Pieces,"['The Dunwich Horror', 'The Hound of the Baskervilles', 'Haunted Honeymoon', 'Premature Burial', 'True Crime']"
Piranha Part Two: The Spawning,"['Ghost Ship', 'Club Paradise', 'The Wicker Man', 'The Brood', 'A Friend Is a Treasure']"
Polyester,"['Desperate Living', 'Passionada', 'Pink Flamingos', 'Unmade Beds', 'Twister']"
Private Lessons,"['New Waterford Girl', 'I Think I Love My Wife', 'Together Again', 'Drive Me Crazy', 'The Year My Voice Broke']"
The Professional,"['Breathless', 'OSS 117: Lost in Rio', 'La Femme Nikita', 'Taxi 4', 'Counter Investigation']"
Derrida,"['Trekkies 2', 'Shadow Company', 'Guerrilla: The Taking of Patty Hearst', 'Life and Debt', 'Before Flying Back to Earth']"
Ghost Ship,"['Death Ship', 'Beyond the Poseidon Adventure', 'The Navigator', 'Supernova', 'Dead Calm']"
Jackass: The Movie,"['Jackass Number Two', 'The Dudesons Movie', 'Disaster Movie', '30 YEARS TO LIFE', 'Baraka']"
Paid in Full,"['Ace of Hearts', 'An Innocent Man', 'State Property 2', 'Ace Ventura: When Nature Calls', 'WiseGirls']"
The Truth About Charlie,"['Shadows', 'Cecil B. Demented', 'The Song of Ceylon', 'Inside Deep Throat', 'Swimming to Cambodia']"
All or Nothing,"['Vera Drake', 'Blow Dry', 'Topsy-Turvy', 'Tipping the Velvet', 'The Red Dwarf']"
All The Queen's Men,"['C.S.A.: The Confederate States of America', 'Bravo Two Zero', 'Two Men Went To War', 'Rules of Engagement', 'Midway']"
Food of Love,"['Foreign Land', 'Allegro', 'Bandits', ""Tuya's Marriage"", 'Happenstance']"
Frida,"['Possible Loves', 'The Other Man', 'Bar Girls', 'Just Love Me', 'Seventh Heaven']"
Roger Dodger,"['The Hi-Line', 'Scorchers', 'Will Success Spoil Rock Hunter?', 'Tin Men', 'Tumbleweeds']"
Time Changer,"[""We're Back! A Dinosaur's Story"", 'The Myth Of Fingerprints', 'The Girl from Monday', 'Happy Accidents', 'The Turning']"
Beau Travail,"['Crane World', 'Talent for the Game', 'Alfie', 'India Song', 'China Strike Force']"
The Big Knife,"['Great World of Sound', 'Dangerous Game', 'Crazy in Alabama', 'In the Electric Mist', 'The City']"
Casino Royale,False
The Company of Wolves,"['Parineeta', 'Tales from the Hood', 'The Picture of Dorian Gray', 'Dead Fury', 'Puppet Master: The Legacy']"
Escanaba in da Moonlight,"['Bad Moon', 'Jingle All the Way', 'Chuck & Buck', 'Our Hospitality', 'Houseguest']"
Exodus,"['Cast a Giant Shadow', 'Morituri', 'Beyond the Poseidon Adventure', 'The Long Way Home', 'In Which We Serve']"
How to Murder Your Wife,"['Possible Loves', 'Junk Mail', 'A Price Above Rubies', 'Mr. Destiny', 'Seventh Heaven']"
"The Russians Are Coming, The Russians Are Coming","['The Teahouse of the August Moon', 'Unmade Beds', 'The Secret of Santa Vittoria', 'The Love Letter', 'Fun in Acapulco']"
The World of Henry Orient,"['Stay', 'Too Beautiful for You', 'Baby the Rain Must Fall', 'These Girls', 'Hometown Legend']"
I Spy,"['Megiddo: The Omega Code 2', 'Left Behind III: World at War', 'G-Force', 'Endgame: Blueprint for Global Enslavement', 'Billabong Odyssey']"
The Santa Clause 2,"['The Santa Clause 3: The Escape Clause', 'The Santa Clause', 'Buster', 'Pinocchio', 'Dancer, Texas Pop. 81']"
Besotted,"['Bay of Angels', 'The Kentucky Fried Movie', 'Peculiarities of the National Fishing', 'The Atomic Cafe', 'Summer Catch']"
Blackboards,"['Marooned in Iraq', 'Turtles Can Fly', 'House of Fools', 'Shooting War', 'Warriors']"
Love in the Time of Money,"['The Hi-Line', 'The Wedding Banquet', ""L'eclisse"", 'Michael', 'Angel']"
The Weight of Water,"['Double Jeopardy', 'The Reckoning', 'Bubble', 'The Walker', 'The Thin Blue Line']"
Femme Fatale,"['A Price Above Rubies', 'Monsieur Hire', 'Fool for Love', 'When Night Is Falling', 'Seventh Heaven']"
8 Mile,"['The Klansman', 'Tekkonkinkreet', 'G', 'The Spitfire Grill', 'Shattered Glass']"
Etoiles: Dancers of the Paris Opera Ballet,"['Center Stage', 'Pas de Deux', 'Calle 54', 'Better Living Through Circuitry', 'Tango']"
Far from Heaven,"['Afterglow', 'Flavor of Green Tea Over Rice', '8 Seconds', 'Ice Castles', 'Surviving Picasso']"
God Is Great and I'm Not,"['Used People', 'Edges of the Lord', 'All Over the Guy', 'The Pirate Movie', 'Sweet Hearts Dance']"
The Rising Place,"['The Land Girls', 'Black Moon', 'Bullet in the Head', 'All Quiet on the Western Front', 'The Life and Death of Colonel Blimp']"
Half Past Dead,"['Tales of Terror', 'Highwaymen', 'Ong Bak 2', 'Coonskin', 'Fortress']"
Harry Potter and the Chamber of Secrets,"[""Harry Potter and the Philosopher's Stone"", 'Harry Potter and the Prisoner of Azkaban', 'Harry Potter and the Goblet of Fire', 'Harry Potter and the Order of the Phoenix', 'Harry Potter and the Half-Blood Prince']"
Ararat,"['House of Fools', 'The Adjuster', 'Intervista', 'The Tracker', 'Why We Fight: Prelude to War']"
The Crime of Padre Amaro,"['Sunflower', 'To The Other Side', 'The Man from Snowy River', 'My Father the Hero', 'Joe the King']"
Interview with the Assassin,"['Ten Canoes', '11:14', 'Tales from the Darkside: The Movie', 'Marked Woman', 'Beyond the Clouds']"
Standing in the Shadows of Motown,"['A Tickle in the Heart', 'Wild Man Blues', 'Buena Vista Social Club', 'Calle 54', 'Heavy Metal in Baghdad']"
The Way Home,"['Paradise', 'Hideous Kinky', 'Carried Away', 'Human Trafficking', 'The Children of Leningradsky']"
Mutant Action,"['The Day of the Beast', 'Kika', 'Swords of Blood', 'Maximum Overdrive', 'The Navigator']"
Eyes of an Angel,"['An American Rhapsody', 'The Crime of Padre Amaro', 'Dance with Me', 'Daddy', 'The Happiest Millionaire']"
Liberty Stands Still,"['Not Without My Daughter', 'Running Scared', 'Cadillac Man', '2009: Lost Memories', 'Blast of Silence']"
The Life and Death of Colonel Blimp,"['The Secret of Santa Vittoria', 'When the Wind Blows', 'How I Unleashed World War II Part III: Among Friends', 'The Rape of Europa', 'House of Fools']"
Rio Grande,"['Red River', 'Big Jake', 'The Deadly Companions', 'Two Rode Together', 'The Searchers']"
The Young Americans,"['The Wrong Arm of the Law', 'Brannigan', 'The Dancer Upstairs', 'Jennifer Eight', 'Chicago Joe and the Showgirl']"
Blackrock,"['Wildflowers', 'The Godless Girl', 'Flirting', 'Psycho Beach Party', 'The Quiet Room']"
Men with Brooms,"['The Iron Ladies', 'Eddie', 'Wilby Wonderful', 'Unmade Beds', 'Nola']"
Mysterious Island,False
Soul Assassin,"['Lambada', 'The Mighty', 'Home Alone', 'Monster-in-Law', 'Kevin & Perry Go Large']"
Left Behind II: Tribulation Force,"['Left Behind', 'Tideland', 'The Quiet Earth', 'Open Water', 'Ex Drummer']"
Dog Soldiers,"['The Objective', 'Wake of Death', 'Wilderness', 'The Signal', 'Doomsday']"
Fingers,"['Wrong Turn at Tahoe', 'Beautiful Joe', 'Dangerous Game', 'Shadows in the Sun', 'Black Sunday']"
"Good Evening, Mr. Wallenberg","['The Life and Death of Colonel Blimp', 'Soldier of Orange', 'The Secret of Santa Vittoria', 'Rules of Engagement', 'Midway']"
Houseboat,"['Yours, Mine and Ours', ""The Courtship of Eddie's Father"", 'The Black Orchid', 'Heartbeeps', 'French Cancan']"
Legion of the Dead,"['Phantasm II', 'Ghoulies', 'Faster, Pussycat! Kill! Kill!', 'Phantasm', 'Promise Me This']"
Madame Bovary,False
My Father's Glory,"[""My Mother's Castle"", 'Weekend', 'Chocolat', 'Time Regained', 'Two Men in Manhattan']"
My Mother's Castle,"[""My Father's Glory"", 'Mélo', 'Time Regained', 'Young Black Stallion', 'The Grass Harp']"
Return to the Blue Lagoon,"['Heaven Knows, Mr. Allison', 'Dedication', 'Mysterious Island', 'Possible Loves', 'Kal Ho Naa Ho']"
Too Beautiful for You,"['Enemies: A Love Story', 'The Lovers', 'The Private Lives of Pippa Lee', ""The Rich Man's Wife"", 'Juha']"
Toy Soldiers,"['The Principal', 'Death Wish 4: The Crackdown', 'Firewalker', 'Detention', 'Iron Eagle III']"
The Prowler,"['2001 Maniacs', ""Salem's Lot"", 'Impulse', 'Mad Hot Ballroom', 'Deep Red']"
The Pursuit of D.B. Cooper,"['Breaker! Breaker!', 'Street Fighter: The Legend of Chun-Li', 'Fall Time', 'Flight of the Intruder', 'Shakedown']"
Raggedy Man,"['Racing with the Moon', 'Dancer, Texas Pop. 81', '1969', 'Picnic', 'OT: Our Town']"
Ragtime,"['Six Degrees of Separation', 'The City', 'Milk and Honey', 'Island in the Sun', 'Household Saints']"
Rich and Famous,"['Career Girls', 'Starting Out in the Evening', 'Tycoon', 'The Women', 'Lake City']"
Ricomincio da tre,"['Stefano Quantestorie', 'Le créateur', 'Summertime', 'Jiminy Glick in Lalawood', ""I'm a Cyborg, But That's OK""]"
Roadgames,"['Blue Steel', 'Tightrope', 'Surveillance', 'The Last Horror Movie', 'Brainscan']"
Rollover,"['The Pelican Brief', 'Deathtrap', 'Rare Birds', 'The Other Man', 'Endgame: Blueprint for Global Enslavement']"
Saturday the 14th,"['Darkness', 'I, Madman', 'Madeline', '13B: Fear Has a New Address', 'Sorority House Massacre']"
Scanners,"['Mindwarp', 'Death Note', 'The Brood', 'eXistenZ', 'Subject Two']"
Sharky's Machine,"['The Public Eye', 'Rent-a-Cop', 'Hells Angels on Wheels', 'The Line', 'Gator']"
Shock Treatment,"['The Rocky Horror Picture Show', 'Jubilee', 'The Smiling Lieutenant', 'Pennies from Heaven', 'Spice World']"
Do You Remember Dolly Bell?,"['Promise Me This', 'Happenstance', 'French Cancan', 'Kimberly', ""L'eclisse""]"
So Fine,"['Paper Moon', 'Survive Style 5+', 'A Raisin in the Sun', 'Looking for Eric', 'Monster in a Box']"
Cabbage Soup,"['Mr. Saturday Night', 'Killer Klowns from Outer Space', 'Mutant Aliens', 'Meet Dave', 'Air Bud']"
Southern Comfort,False
Sphinx,"['Foreign Land', 'Against All Odds', 'Endangered Species', 'Double Jeopardy', 'Thunderheart']"
Tales of Ordinary Madness,"['The Perfect Circle', 'Doing Time on Maple Drive', 'Get on the Bus', 'Reuben, Reuben', 'Testament of Orpheus']"
Student Bodies,"[""Three O'Clock High"", 'Return to Horror High', 'The Final', 'Mr. Woodcock', 'The Curiosity of Chance']"
Take This Job and Shove It,"['All Over the Guy', 'Mr. Wonderful', 'Children on Their Birthdays', 'The Tall Guy', 'Dinner for One']"
"Tarzan, the Ape Man","['Tarzan the Ape Man', ""Tarzan's Secret Treasure"", 'Tarzan Finds a Son!', 'Tarzan', ""Tarzan's New York Adventure""]"
Tattoo,"['Wrestling with Alligators', 'Peeping Tom', 'Premature Burial', 'My Summer of Love', 'Utamaro and His Five Women']"
They All Laughed,"[""Widows' Peak"", 'Deathtrap', 'Outside Ozona', 'Clean Slate', 'My Favorite Brunette']"
Thief,"['The Way of the Gun', 'The Public Eye', 'SPL: Kill Zone', 'Jimmy and Judy', 'Normal Life']"
This Is Elvis,"['The King', ""Elvis That's the Way It Is"", 'Rockabilly Vampire', 'Love Me Tender', 'Change of Habit']"
True Confessions,"['Jennifer Eight', 'Coonskin', 'Colors', 'Resurrection Man', 'Sacco & Vanzetti']"
Revolution #9,"['Crane World', 'All About the Benjamins', 'Waydowntown', 'Hush', 'Cabin in the Sky']"
Better Housekeeping,"['About Schmidt', 'Billabong Odyssey', 'True Lies', 'Wake of Death', 'The Amateur']"
Die Another Day,"['The World Is Not Enough', 'GoldenEye', 'Dr. No', 'Never Say Never Again', 'Licence to Kill']"
